building_id,building_kind,building_name,resource_in,input_goods,output_goods
fertilizer_plant,industrial,Fertilizer Factory,,phosphate_rock;natural_gas,fertilizer
flax_collector,collector,Flax Farm,arable_land[capacity];fertile_soil[capacity],,flax_fiber
flax_spinning_shed,industrial,Flax Spinning Shed,,flax_fiber,flax_yarn
flax_yarn_plant,industrial,Flax Yarn Factory,,flax_fiber,flax_yarn
flint_quarry,collector,燧石采集场,flint[extract],,flint
flour_plant,industrial,Mechanized Flour Mill,,grain,flour
footwear_plant,industrial,Footwear Factory,,leather;latex,footwear
furniture_plant,industrial,Furniture Factory,,lumber;textile,furniture
gas_power_plant,industrial,Gas Power Plant,,natural_gas,electricity
gathering_ground,collector,Gathering Ground,fertile_soil[capacity],,gathered_plants
glass_plant,industrial,Glass Factory,,silica_sand,glass
gold_mine,collector,Gold Deposit Collector,gold_ore[extract],,gold
grain_plant,industrial,Mixed Grain Factory,,wheat_grain;rice_grain;corn_grain,grain
guild_hall,industrial,行会家具工坊,,lumber;tools,furniture
guild_weaving_house,industrial,Guild Weaving House,,flax_yarn;wool,textile
horse_breeder,collector,Horse Breeder,pasture[capacity],,horses
household_appliances_plant,industrial,Household Appliances Factory,,electrical_equipment;stainless_steel;plastics,household_appliances
household_loom,collector,Household Loom,arable_land[capacity];fertile_soil[capacity],,cloth
household_weaving_shelter,collector,Household Weaving Shelter,fertile_soil[capacity],,cloth
improved_domestic_loom,collector,Improved Domestic Loom,arable_land[capacity];fertile_soil[capacity],,cloth
improved_smallholding,collector,Improved Smallholding,arable_land[capacity];fertile_soil[capacity],,grain;vegetables
industrial_chemicals_plant,industrial,Industrial Chemicals Factory,,sulfur;salt,industrial_chemicals
industrial_machinery_plant,industrial,Industrial Machinery Factory,,machine_parts;electric_motor,industrial_machinery
insulated_cable_plant,industrial,绝缘电缆厂,,copper,insulated_cable
iron_ore_collector,collector,Iron Deposit Collector,iron_ore[extract],tools,iron_ore
isotope_reactor,industrial,同位素反应堆,,nuclear_fuel;reactor_components,medical_isotopes
jewelry_plant,industrial,Jewelry Factory,,gold;silver;rare_earth_metals,jewelry
knapping_workshop,industrial,石器打制工坊,,flint,chipped_stone_tools
landed_estate,collector,Corn Estate,arable_land[capacity];fertile_soil[capacity],,corn_grain
lead_ore_collector,collector,Lead Deposit Collector,lead_ore[extract],tools;explosives;electricity,lead_ore
lead_plant,industrial,Lead Factory,,lead_ore;coal,lead
leather_plant,industrial,Leather Factory,,raw_hide;industrial_chemicals,leather
limestone_collector,collector,Limestone Collector,limestone[extract],,limestone
lime_plant,industrial,Lime Factory,,limestone,lime
lubricants_plant,industrial,Lubricants Factory,,crude_oil,lubricants
lumber_plant,industrial,Lumber Factory,,logs,lumber
machine_parts_plant,industrial,Machine Parts Factory,,steel;lubricants,machine_parts
manganese_alloy_plant,industrial,Manganese Alloy Factory,,manganese_ore;steel,manganese_alloy
manganese_ore_collector,collector,Manganese Deposit Collector,manganese_ore[extract],tools;explosives;electricity,manganese_ore
manorial_pasture,collector,Manorial Pasture,pasture[capacity],,livestock_products
marine_fish_collector,collector,Marine Fishery,marine_fish[extract],,fish
mechanized_farm,collector,Mechanized Farm,arable_land[capacity];fertile_soil[capacity],fertilizer;agricultural_machinery,grain;vegetables
mechanized_slaughterhouse,industrial,Mechanized Slaughterhouse,,livestock_products;industrial_machinery,meat;raw_hide
medicinal_herbs_collector,collector,Medicinal Herb Plantation,plantation_land[capacity];fertile_soil[capacity],,medicinal_herbs
monastic_scriptorium,industrial,修院抄写室,,parchment,codices
natural_gas_collector,collector,Natural Gas Collector,natural_gas[extract],industrial_machinery;electricity,natural_gas
naval_salvage_yard,industrial,船舶拆解场,,oceanic_vessels,construction_components
navigation_instrument_shop,industrial,航海仪器工坊,,copper;glass;tools,navigation_instruments
nuclear_fuel_plant,industrial,Nuclear Fuel Factory,,rare_earth_metals,nuclear_fuel
nuclear_medicine_center,industrial,放射性药物工坊,,medical_isotopes,pharmaceuticals
nuclear_power_plant,industrial,Nuclear Power Plant,,nuclear_fuel,electricity
oceanic_shipyard,industrial,远洋造船厂,,lumber;sailcloth;navigation_instruments,oceanic_vessels
oil_collector,collector,Oil Collector,oil[extract],industrial_machinery;electricity,crude_oil
oil_power_plant,industrial,Oil Power Plant,,refined_fuel,electricity
packaging_plant,industrial,Packaging Factory,,paper,packaging
paper_plant,industrial,Paper Factory,,wood_pulp,paper
papyrus_workshop,industrial,莎草纸作坊,,gathered_plants,papyrus
parchmenter,industrial,羊皮纸作坊,,raw_hide,parchment
pastoral_camp,collector,Pastoral Camp,pasture[capacity],,livestock_products
petrochemicals_plant,industrial,Petrochemicals Factory,,crude_oil;natural_gas,petrochemicals
pharmaceuticals_plant,industrial,Pharmaceuticals Factory,,medicinal_herbs;industrial_chemicals,pharmaceuticals
phosphate_rock_collector,collector,Phosphate Rock Collector,phosphate_rock[extract],tools;explosives;electricity,phosphate_rock
pig_iron_plant,industrial,Pig Iron Factory,,iron_ore;coal,pig_iron
placer_gold_working,collector,早期淘金点,gold_ore[extract],,gold
plastics_plant,industrial,Plastics Factory,,petrochemicals,plastics
potato_collector,collector,Potato Field,arable_land[capacity];fertile_soil[capacity],,potatoes
potato_food_plant,industrial,Potato Food Factory,,potatoes;edible_oil;packaging,potato_food
potato_kitchen,industrial,Potato Kitchen,,potatoes,potato_food
pottery_kiln,industrial,陶窑,,clay;logs,pottery
precision_tool_workshop,industrial,精密工具工坊,,steel;scientific_instruments,precision_tools
printed_materials_plant,industrial,Printed Materials Factory,,paper,printed_materials
processed_food_plant,industrial,Processed Food Factory,,vegetables;game_meat;dairy_products;corn_food;spices;salt;packaging,processed_food
radio_equipment_works,industrial,无线电设备厂,,insulated_cable,radio_equipment
railway_equipment_plant,industrial,Railway Equipment Factory,,stainless_steel;engines;electrical_equipment,railway_equipment
ranching_station,collector,Mechanized Ranch,pasture[capacity],agricultural_machinery,livestock_products
rare_earth_collector,collector,Strategic Minerals Collector,rare_earth[extract],tools,rare_earth_ore
rare_earth_metals_plant,industrial,Strategic Mineral Materials Factory,,rare_earth_ore,rare_earth_metals
reactor_component_works,industrial,反应堆部件厂,,steel;rare_earth_metals;electrical_equipment,reactor_components
refined_fuel_plant,industrial,Refined Fuel Factory,,crude_oil,refined_fuel
rice_collector,collector,Rice Farm,paddy_land[capacity],,rice_grain
rice_food_plant,industrial,Rice Food Factory,,rice_grain;packaging,rice_food
rice_kitchen,industrial,Rice Kitchen,,rice_grain,rice_food
rubber_tree_collector,collector,Rubber Plantation,plantation_land[capacity];fertile_soil[capacity],,latex
sail_loft,industrial,制帆工坊,,cloth,sailcloth
saltpeter_collector,collector,Saltpeter Deposit Collector,saltpeter[extract],tools,saltpeter
salt_collector,collector,Salt Deposit Collector,salt[extract],tools,salt
scientific_instrument_works,industrial,科学仪器工场,,glass;copper,scientific_instruments
semiconductors_plant,industrial,Semiconductors Factory,,silica_sand;industrial_chemicals;electricity,semiconductors
silica_sand_collector,collector,Silica Sand Collector,silica_sand[extract],,silica_sand
silver_mine,collector,Silver Deposit Collector,silver_ore[extract],,silver
slaughterhouse,industrial,Slaughterhouse,,livestock_products,meat;raw_hide
soap_plant,industrial,Soap Factory,,edible_oil;salt,soap
spice_plants_collector,collector,Spice Plantation,plantation_land[capacity];fertile_soil[capacity],,spices
stainless_steel_plant,industrial,Stainless Steel Factory,,steel;rare_earth_metals;manganese_alloy,stainless_steel
steam_coal_mine,collector,蒸汽时代煤矿,coal[extract],,coal
steam_engine_works,industrial,蒸汽机制造厂,,coke;steel;precision_tools,steam_engines
steam_iron_mine,collector,蒸汽时代铁矿,iron_ore[extract],,iron_ore
steam_rail_works,industrial,蒸汽铁路工场,,steam_engines,railway_equipment
steam_steel_works,industrial,蒸汽炼钢厂,,iron_ore;coke,steel
steel_plant,industrial,Steel Factory,,pig_iron;coal,steel
stone_age_hunting_camp,collector,石器时代狩猎营地,wild_game[extract],chipped_stone_tools,game_meat;raw_hide;fur
stone_collector,collector,Stone Collector,stone[extract],tools,raw_stone
subsistence_farm,collector,Early Subsistence Farm,arable_land[capacity];fertile_soil[capacity],,grain;vegetables
sulfur_collector,collector,Sulfur Deposit Collector,sulfur[extract],tools;explosives;electricity,sulfur
surface_silver_working,collector,早期采银点,silver_ore[extract],,silver
synthetic_fiber_plant,industrial,Synthetic Fiber Factory,,petrochemicals,synthetic_fiber
synthetic_rubber_plant,industrial,Synthetic Rubber Factory,,petrochemicals;sulfur,synthetic_rubber
synthetic_textile_mill,industrial,Synthetic Textile Mill,,synthetic_fiber,textile
tailor_shop,industrial,Tailor Shop,,cloth,clothing
tannery,industrial,Tannery,,raw_hide,leather
telecom_equipment_plant,industrial,Telecom Equipment Factory,,semiconductors;wire;batteries;plastics,telecom_equipment
textile_mill,industrial,Textile Mill,,flax_yarn;cotton_yarn;wool,textile
textile_workshop,industrial,Cloth Workshop,,textile,cloth
three_field_smallholding,collector,Three-Field Smallholding,arable_land[capacity];fertile_soil[capacity],,grain;vegetables
timber_collector,collector,Timber Collector,timber[extract],tools,logs
tin_ore_collector,collector,Tin Deposit Collector,tin_ore[extract],tools,tin_ore
tin_plant,industrial,Tin Factory,,tin_ore;coal,tin
tools_plant,industrial,Tools Factory,,steel;lumber,tools
village_mill,industrial,Village Mill,,grain,flour
wheat_farm,collector,Wheat Farm,arable_land[capacity];fertile_soil[capacity],,wheat_grain
wire_plant,industrial,Wire Factory,,copper;plastics,wire
wood_pulp_plant,industrial,Wood Pulp Factory,,logs;industrial_chemicals,wood_pulp
wool_shed,industrial,Wool Shed,,livestock_products,wool
zinc_ore_collector,collector,Zinc Deposit Collector,zinc_ore[extract],tools;explosives;electricity,zinc_ore
zinc_plant,industrial,Zinc Factory,,zinc_ore;coal,zinc
