row_idx,tick_idx,timestamp_ms,fps,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,sus_pct_of_fast,render_pct_of_fast,ui_pct_of_fast,known_job_ms,known_job_pct_of_sus,unaccounted_sus_ms,unaccounted_sus_pct,season_refresh_ms,season_refresh_pct_of_sus,season_refresh_pct_of_known_jobs,natural_resource_daily_ms,natural_resource_daily_pct_of_sus,natural_resource_daily_pct_of_known_jobs,enum_atlas_upload_ms,enum_atlas_upload_pct_of_sus,enum_atlas_upload_pct_of_known_jobs,ocean_currents_ms,ocean_currents_pct_of_sus,ocean_currents_pct_of_known_jobs,native_daily_sim_ms,native_daily_sim_pct_of_sus,native_daily_sim_pct_of_known_jobs,dynamic_visual_atlas_upload_ms,dynamic_visual_atlas_upload_pct_of_sus,dynamic_visual_atlas_upload_pct_of_known_jobs,dominant_job,dominant_job_ms,dominant_job_pct_of_sus,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms
24,408,46719,49,8.000,8.103,0.007,0.396,101.3,0.1,5.0,6.416,79.2,1.687,20.8,0.089,1.1,1.4,1.560,19.3,24.3,0.000,0.0,0.0,2.988,36.9,46.6,1.433,17.7,22.3,0.346,4.3,5.4,ocean_currents,2.988,36.9,ocean_currents,phys_wind,next_phys_done,gdext,2.976
25,409,46734,49,5.000,4.468,0.007,0.505,89.4,0.1,10.1,3.051,68.3,1.417,31.7,0.037,0.8,1.2,0.968,21.7,31.7,0.000,0.0,0.0,0.000,0.0,0.0,2.046,45.8,67.1,0.000,0.0,0.0,native_daily_sim,2.046,45.8,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,2.036
26,410,46753,49,8.000,7.505,0.008,0.468,93.8,0.1,5.9,6.007,80.0,1.498,20.0,0.042,0.6,0.7,1.134,15.1,18.9,0.000,0.0,0.0,2.458,32.8,40.9,1.922,25.6,32.0,0.451,6.0,7.5,ocean_currents,2.458,32.8,ocean_currents,phys_slp,next_phys_wind,gdext,2.448
27,411,46771,49,7.000,7.212,0.011,0.429,103.0,0.2,6.1,5.718,79.3,1.494,20.7,0.037,0.5,0.6,1.189,16.5,20.8,0.000,0.0,0.0,2.645,36.7,46.3,1.847,25.6,32.3,0.000,0.0,0.0,ocean_currents,2.645,36.7,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.634
28,412,46789,49,8.000,7.926,0.009,0.439,99.1,0.1,5.5,5.879,74.2,2.047,25.8,0.036,0.5,0.6,1.384,17.5,23.5,1.019,12.9,17.3,1.579,19.9,26.9,1.484,18.7,25.2,0.377,4.8,6.4,ocean_currents,1.579,19.9,ocean_currents,phys_wind,next_phys_done,gdext,1.567
29,413,46816,49,7.000,6.343,0.007,0.404,90.6,0.1,5.8,4.820,76.0,1.523,24.0,0.037,0.6,0.8,1.152,18.2,23.9,0.000,0.0,0.0,0.000,0.0,0.0,3.631,57.2,75.3,0.000,0.0,0.0,native_daily_sim,3.631,57.2,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.621
30,414,46836,49,10.000,9.314,0.717,0.387,93.1,7.2,3.9,7.829,84.1,1.485,15.9,0.034,0.4,0.4,1.045,11.2,13.3,0.000,0.0,0.0,2.322,24.9,29.7,4.094,44.0,52.3,0.334,3.6,4.3,native_daily_sim,4.094,44.0,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,4.078
31,415,46856,49,10.000,8.902,0.007,0.399,89.0,0.1,4.0,7.485,84.1,1.417,15.9,0.034,0.4,0.5,1.022,11.5,13.7,0.000,0.0,0.0,0.000,0.0,0.0,6.429,72.2,85.9,0.000,0.0,0.0,native_daily_sim,6.429,72.2,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,6.420
32,416,46870,49,6.000,5.431,0.009,0.432,90.5,0.1,7.2,3.999,73.6,1.432,26.4,0.029,0.5,0.7,1.076,19.8,26.9,0.000,0.0,0.0,0.573,10.6,14.3,1.920,35.4,48.0,0.401,7.4,10.0,native_daily_sim,1.920,35.4,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,1.909
33,417,46899,49,9.000,9.023,0.008,0.406,100.3,0.1,4.5,7.566,83.9,1.457,16.1,0.039,0.4,0.5,1.086,12.0,14.4,0.000,0.0,0.0,2.689,29.8,35.5,3.752,41.6,49.6,0.000,0.0,0.0,native_daily_sim,3.752,41.6,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.743
34,418,46916,49,7.000,6.797,0.010,0.429,97.1,0.1,6.1,5.380,79.2,1.417,20.8,0.032,0.5,0.6,1.028,15.1,19.1,0.000,0.0,0.0,2.410,35.5,44.8,1.477,21.7,27.5,0.433,6.4,8.0,ocean_currents,2.410,35.5,ocean_currents,phys_slp,next_phys_wind,gdext,2.400
35,419,46930,49,5.000,4.439,0.006,0.426,88.8,0.1,8.5,3.057,68.9,1.382,31.1,0.030,0.7,1.0,1.151,25.9,37.7,0.000,0.0,0.0,0.000,0.0,0.0,1.876,42.3,61.4,0.000,0.0,0.0,native_daily_sim,1.876,42.3,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,1.868
36,420,46959,49,9.000,8.246,0.007,0.392,91.6,0.1,4.4,6.633,80.4,1.613,19.6,0.033,0.4,0.5,0.958,11.6,14.4,0.901,10.9,13.6,2.820,34.2,42.5,1.577,19.1,23.8,0.344,4.2,5.2,ocean_currents,2.820,34.2,ocean_currents,phys_wind,next_phys_done,gdext,2.809
37,421,46973,49,5.000,4.280,0.008,0.401,85.6,0.2,8.0,2.850,66.6,1.430,33.4,0.033,0.8,1.2,0.990,23.1,34.7,0.000,0.0,0.0,0.000,0.0,0.0,1.827,42.7,64.1,0.000,0.0,0.0,native_daily_sim,1.827,42.7,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.819
38,422,46990,49,8.000,7.285,0.007,0.390,91.1,0.1,4.9,5.492,75.4,1.793,24.6,0.032,0.4,0.6,1.021,14.0,18.6,0.000,0.0,0.0,2.482,34.1,45.2,1.576,21.6,28.7,0.381,5.2,6.9,ocean_currents,2.482,34.1,ocean_currents,phys_slp,next_phys_wind,gdext,2.473
39,423,47019,49,10.000,9.073,0.009,0.424,90.7,0.1,4.2,7.343,80.9,1.730,19.1,0.041,0.5,0.6,1.004,11.1,13.7,0.000,0.0,0.0,2.871,31.6,39.1,3.427,37.8,46.7,0.000,0.0,0.0,native_daily_sim,3.427,37.8,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.418
40,424,47039,46,10.000,8.667,0.745,0.444,86.7,7.4,4.4,7.236,83.5,1.431,16.5,0.037,0.4,0.5,1.096,12.6,15.1,0.000,0.0,0.0,1.477,17.0,20.4,4.276,49.3,59.1,0.350,4.0,4.8,native_daily_sim,4.276,49.3,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,4.267
41,425,47059,46,11.000,10.753,0.007,0.391,97.8,0.1,3.6,9.315,86.6,1.438,13.4,0.035,0.3,0.4,1.066,9.9,11.4,0.000,0.0,0.0,0.000,0.0,0.0,8.214,76.4,88.2,0.000,0.0,0.0,native_daily_sim,8.214,76.4,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,8.205
42,426,47087,46,8.000,7.195,0.007,0.393,89.9,0.1,4.9,5.689,79.1,1.506,20.9,0.040,0.6,0.7,1.200,16.7,21.1,0.000,0.0,0.0,2.266,31.5,39.8,1.829,25.4,32.1,0.354,4.9,6.2,ocean_currents,2.266,31.5,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.255
43,427,47102,46,6.000,6.143,0.009,0.435,102.4,0.1,7.2,4.696,76.4,1.447,23.6,0.036,0.6,0.8,1.131,18.4,24.1,0.000,0.0,0.0,0.000,0.0,0.0,3.529,57.4,75.1,0.000,0.0,0.0,native_daily_sim,3.529,57.4,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.518
44,428,47118,46,7.000,6.081,0.008,0.403,86.9,0.1,5.8,4.610,75.8,1.471,24.2,0.032,0.5,0.7,1.158,19.0,25.1,0.675,11.1,14.6,0.677,11.1,14.7,1.690,27.8,36.7,0.378,6.2,8.2,native_daily_sim,1.690,27.8,native_daily_sim,ocean_land,ocean_land_knobs,gdext_native_daily_slice,1.681
45,429,47134,46,7.000,6.836,0.006,0.391,97.7,0.1,5.6,5.475,80.1,1.361,19.9,0.034,0.5,0.6,0.982,14.4,17.9,0.000,0.0,0.0,2.516,36.8,46.0,1.943,28.4,35.5,0.000,0.0,0.0,ocean_currents,2.516,36.8,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.506
46,430,47164,46,8.000,7.603,0.008,0.434,95.0,0.1,5.4,6.135,80.7,1.468,19.3,0.033,0.4,0.5,1.143,15.0,18.6,0.000,0.0,0.0,2.613,34.4,42.6,1.941,25.5,31.6,0.405,5.3,6.6,ocean_currents,2.613,34.4,ocean_currents,phys_slp,next_phys_wind,gdext,2.602
47,431,47179,46,5.000,4.449,0.009,0.395,89.0,0.2,7.9,3.041,68.4,1.408,31.6,0.031,0.7,1.0,1.124,25.3,37.0,0.000,0.0,0.0,0.000,0.0,0.0,1.886,42.4,62.0,0.000,0.0,0.0,native_daily_sim,1.886,42.4,native_daily_sim,sea_ice,sea_ice_knobs,gdext_native_daily_slice,1.876
48,432,47195,46,8.000,7.446,0.006,0.378,93.1,0.1,4.7,5.640,75.7,1.806,24.3,0.031,0.4,0.5,1.119,15.0,19.8,0.000,0.0,0.0,2.655,35.7,47.1,1.449,19.5,25.7,0.386,5.2,6.8,ocean_currents,2.655,35.7,ocean_currents,phys_wind,next_phys_done,gdext,2.646
49,433,47229,46,6.000,6.033,0.007,0.383,100.6,0.1,6.4,4.448,73.7,1.585,26.3,0.040,0.7,0.9,1.202,19.9,27.0,0.000,0.0,0.0,0.000,0.0,0.0,3.206,53.1,72.1,0.000,0.0,0.0,native_daily_sim,3.206,53.1,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.197
50,434,47249,46,10.000,9.206,0.678,0.378,92.1,6.8,3.8,7.800,84.7,1.406,15.3,0.032,0.3,0.4,0.939,10.2,12.0,0.000,0.0,0.0,2.556,27.8,32.8,3.943,42.8,50.6,0.330,3.6,4.2,native_daily_sim,3.943,42.8,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,3.933
51,435,47271,46,13.000,11.553,0.014,0.518,88.9,0.1,4.0,10.075,87.2,1.478,12.8,0.032,0.3,0.3,1.084,9.4,10.8,0.000,0.0,0.0,2.412,20.9,23.9,6.547,56.7,65.0,0.000,0.0,0.0,native_daily_sim,6.547,56.7,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,6.526
52,436,47288,46,8.000,6.966,0.008,0.420,87.1,0.1,5.2,5.552,79.7,1.414,20.3,0.035,0.5,0.6,1.229,17.6,22.1,0.663,9.5,11.9,1.558,22.4,28.1,1.692,24.3,30.5,0.375,5.4,6.8,native_daily_sim,1.692,24.3,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,1.682
53,437,47304,46,6.000,5.743,0.010,0.453,95.7,0.2,7.5,4.358,75.9,1.385,24.1,0.037,0.6,0.8,1.021,17.8,23.4,0.000,0.0,0.0,0.000,0.0,0.0,3.300,57.5,75.7,0.000,0.0,0.0,native_daily_sim,3.300,57.5,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,3.291
54,438,47331,46,7.000,6.439,0.006,0.381,92.0,0.1,5.4,5.067,78.7,1.372,21.3,0.033,0.5,0.7,1.036,16.1,20.4,0.000,0.0,0.0,2.220,34.5,43.8,1.402,21.8,27.7,0.376,5.8,7.4,ocean_currents,2.220,34.5,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,2.211
55,439,47348,46,5.000,4.497,0.007,0.385,89.9,0.1,7.7,2.934,65.2,1.563,34.8,0.034,0.8,1.2,1.066,23.7,36.3,0.000,0.0,0.0,0.000,0.0,0.0,1.834,40.8,62.5,0.000,0.0,0.0,native_daily_sim,1.834,40.8,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,1.824
56,440,47362,46,6.000,5.241,0.007,0.386,87.3,0.1,6.4,3.803,72.6,1.438,27.4,0.033,0.6,0.9,0.991,18.9,26.1,0.000,0.0,0.0,0.653,12.5,17.2,1.732,33.0,45.5,0.394,7.5,10.4,native_daily_sim,1.732,33.0,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,1.723
57,441,47378,46,7.000,6.321,0.007,0.393,90.3,0.1,5.6,4.907,77.6,1.414,22.4,0.033,0.5,0.7,0.975,15.4,19.9,0.000,0.0,0.0,2.381,37.7,48.5,1.518,24.0,30.9,0.000,0.0,0.0,ocean_currents,2.381,37.7,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.371
58,442,47420,46,10.000,9.766,0.009,0.585,97.7,0.1,5.8,7.290,74.6,2.476,25.4,0.079,0.8,1.1,1.772,18.1,24.3,0.000,0.0,0.0,3.140,32.2,43.1,1.874,19.2,25.7,0.425,4.4,5.8,ocean_currents,3.140,32.2,ocean_currents,phys_slp,next_phys_wind,gdext,3.129
59,443,47447,46,12.000,11.213,0.018,0.641,93.4,0.1,5.3,9.023,80.5,2.190,19.5,0.082,0.7,0.9,1.774,15.8,19.7,0.000,0.0,0.0,0.000,0.0,0.0,7.167,63.9,79.4,0.000,0.0,0.0,native_daily_sim,7.167,63.9,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,7.143
60,444,47476,46,13.000,11.810,0.021,1.013,90.8,0.2,7.8,10.103,85.5,1.707,14.5,0.039,0.3,0.4,1.190,10.1,11.8,0.054,0.5,0.5,4.167,35.3,41.2,4.653,39.4,46.1,0.000,0.0,0.0,native_daily_sim,4.653,39.4,native_daily_sim,runtime_hydrology,runtime_hydrology_knobs,gdext_native_daily_slice,4.631
61,445,47507,46,13.000,10.245,1.627,0.939,78.8,12.5,7.2,8.280,80.8,1.965,19.2,0.089,0.9,1.1,1.416,13.8,17.1,0.000,0.0,0.0,0.000,0.0,0.0,6.096,59.5,73.6,0.679,6.6,8.2,native_daily_sim,6.096,59.5,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,6.072
62,446,47535,46,7.000,6.472,0.792,0.445,92.5,11.3,6.4,4.877,75.4,1.595,24.6,0.064,1.0,1.3,1.420,21.9,29.1,0.000,0.0,0.0,2.984,46.1,61.2,0.000,0.0,0.0,0.409,6.3,8.4,ocean_currents,2.984,46.1,ocean_currents,phys_slp,next_phys_wind,gdext,2.961
63,447,47569,46,16.000,15.116,0.010,0.468,94.5,0.1,2.9,13.555,89.7,1.561,10.3,0.037,0.2,0.3,1.188,7.9,8.8,0.000,0.0,0.0,3.162,20.9,23.3,9.168,60.7,67.6,0.000,0.0,0.0,native_daily_sim,9.168,60.7,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,9.154
64,448,47590,46,7.000,6.437,0.010,0.457,92.0,0.1,6.5,5.020,78.0,1.417,22.0,0.037,0.6,0.7,1.379,21.4,27.5,0.000,0.0,0.0,1.557,24.2,31.0,1.654,25.7,32.9,0.393,6.1,7.8,native_daily_sim,1.654,25.7,native_daily_sim,climate_pass_b,climate_pass_b_knobs,gdext_native_daily_slice,1.645
65,449,47603,46,12.000,11.119,0.018,0.874,92.7,0.1,7.3,9.379,84.4,1.740,15.6,0.054,0.5,0.6,1.557,14.0,16.6,0.000,0.0,0.0,0.000,0.0,0.0,7.768,69.9,82.8,0.000,0.0,0.0,native_daily_sim,7.768,69.9,native_daily_sim,ocean_water,ocean_water_knobs,gdext_native_daily_slice,7.739
66,450,47625,46,10.000,9.245,0.010,0.437,92.4,0.1,4.4,7.301,79.0,1.944,21.0,0.078,0.8,1.1,1.572,17.0,21.5,0.000,0.0,0.0,3.576,38.7,49.0,1.677,18.1,23.0,0.398,4.3,5.5,ocean_currents,3.576,38.7,ocean_currents,phys_psi_init,next_phys_upwelling,gdext,3.563
67,451,47644,46,5.000,4.647,0.006,0.387,92.9,0.1,7.7,3.186,68.6,1.461,31.4,0.040,0.9,1.3,1.287,27.7,40.4,0.000,0.0,0.0,0.000,0.0,0.0,1.859,40.0,58.3,0.000,0.0,0.0,native_daily_sim,1.859,40.0,native_daily_sim,wind_air,wind_air_knobs,gdext_native_daily_slice,1.850
68,452,47656,46,10.000,9.909,0.016,0.574,99.1,0.2,5.7,8.123,82.0,1.786,18.0,0.045,0.5,0.6,1.261,12.7,15.5,2.068,20.9,25.5,1.271,12.8,15.6,2.927,29.5,36.0,0.551,5.6,6.8,native_daily_sim,2.927,29.5,native_daily_sim,wind_surface,wind_surface_knobs,gdext_native_daily_slice,2.913
69,453,47682,46,8.000,7.485,0.010,0.443,93.6,0.1,5.5,5.952,79.5,1.533,20.5,0.039,0.5,0.7,1.256,16.8,21.1,0.000,0.0,0.0,2.757,36.8,46.3,1.900,25.4,31.9,0.000,0.0,0.0,ocean_currents,2.757,36.8,ocean_currents,daily_wind_prepass,daily_wind_slp,gdext_daily_wind_slp,2.745
70,454,47703,46,11.000,10.308,0.020,0.868,93.7,0.2,7.9,8.318,80.7,1.990,19.3,0.047,0.5,0.6,1.466,14.2,17.6,0.000,0.0,0.0,3.276,31.8,39.4,3.529,34.2,42.4,0.000,0.0,0.0,native_daily_sim,3.529,34.2,native_daily_sim,transpiration,transpiration_knobs,gdext_native_daily_slice,3.510
71,455,47722,46,7.000,6.198,0.006,0.383,88.5,0.1,5.5,4.655,75.1,1.543,24.9,0.035,0.6,0.8,0.923,14.9,19.8,0.000,0.0,0.0,0.000,0.0,0.0,3.311,53.4,71.1,0.386,6.2,8.3,native_daily_sim,3.311,53.4,native_daily_sim,weather,weather_knobs,gdext_native_daily_slice,3.301
72,456,47750,46,14.000,12.213,0.950,0.635,87.2,6.8,4.5,10.399,85.1,1.814,14.9,0.079,0.6,0.8,1.631,13.4,15.7,0.000,0.0,0.0,3.051,25.0,29.3,5.638,46.2,54.2,0.000,0.0,0.0,native_daily_sim,5.638,46.2,native_daily_sim,native_daily_complete,round_complete,gdext_native_daily_slice,5.621
