epoch_row_id,epoch_id,day_index,epoch_active,stage,progress_q16,sample_day,commit_day,cohort_count,market_count,good_count,building_type_count,building_group_count,pending_construction_count,filled_owner_jobs,filled_employee_jobs,unemployed_population,births,deaths,production_inputs_consumed,production_output_stock,production_output_discarded,production_output_retained,production_output_supported,owner_output_consumed,producer_revenue,producer_support_money_issued,bullion_money_issued,bullion_stock_consumed,gold_accepted,silver_accepted,gold_money_issued,silver_money_issued,cycle_flow_produced,cycle_flow_consumed,cycle_flow_discarded,building_wages_paid,building_wages_unpaid,building_resource_generated,building_resource_consumed,building_resource_net_delta,loss_suspended_building_groups,merchant_procurement_budget,merchant_procurement_reserved,merchant_procurement_spent,owner_working_capital_reserved,production_input_reserved,production_input_reserve_shortfall,trade_runtime_mode,trade_topology_ready,trade_topology_generation,trade_topology_hash,trade_country_generation,trade_plan_phase,trade_scan_cursor,trade_scan_total,trade_route_cursor,trade_route_total,trade_completed_scans,trade_plan_reset_count,trade_topology_content_change_count,trade_last_plan_reset_reason,trade_source_signals,trade_destination_signals,trade_ready_candidates,trade_route_expansions,trade_route_cache_hits,trade_route_cache_misses,trade_candidates_generated,trade_candidates_accepted,trade_rejected_profit,trade_rejected_no_spread,trade_rejected_margin,trade_quantity_profit_clips,trade_relief_candidates,trade_rejected_capacity,trade_rejected_stock,trade_rejected_cash,trade_rejected_route,trade_rejected_order_cap,trade_orders_in_flight,trade_orders_dispatched,trade_orders_arrived,trade_unclaimed_orders,trade_capacity_available,trade_capacity_used,population_error,money_error,goods_error,construction_goods_consumed,building_investment_candidates,building_owner_mobility,building_investments_started,building_investment_blocked_funds,building_investment_blocked_materials,building_investment_blocked_sponsor_capital,building_investment_blocked_resources,building_investment_capital_transferred,desired_business_demand,funded_business_demand,unfunded_business_demand,owner_working_capital_allocated,trade_signal_max_age_days,trade_first_dispatch_delay_max_days,trade_response_deadline_misses,trade_response_deadline_misses_cumulative
11,11,11,false,trade_planning,65535,11,11,6788,2400,120,260,11918,0,19500,582,36,0,0,10301182,227340650,2481954,26623015,22263537,26623015,2097719484,33493098,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,13007590,-13007590,0,2232722380,318960467,1867301386,267593013,4331167,17899157,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,6,0,0,initial_topology_capture,0,0,0,15078,0,208,102,30,12,0,12,1,84,0,72,0,0,0,27,15,2,0,13203668992,1994421364,0,0,0,0,0,0,0,0,148,0,0,0,22233032,13213935,9019097,267330110,10,10,0,0
12,12,12,false,trade_planning,65535,12,12,6788,2400,120,260,11918,0,20322,577,47,0,0,10998315,235164430,2601075,27968418,20912602,27968418,2193333474,31427002,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,13784806,-13784806,0,2430490414,347213042,1966106472,276332925,5087853,17773803,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,819,6,0,0,initial_topology_capture,819,1960,0,15078,0,208,102,30,12,0,12,1,84,0,72,0,0,0,27,0,0,0,13203668992,0,0,0,0,0,0,0,0,0,176,0,0,0,22864892,13890960,8973932,276017382,11,0,0,0
13,13,13,false,trade_planning,65535,13,13,6788,2400,120,260,11918,0,21086,541,41,0,0,11432744,246151442,2678572,28876937,19591638,28876937,2272371007,29464119,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,13987232,-13987232,0,2643336852,377619686,2059581888,289751064,5122415,18955473,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,7,0,0,initial_topology_capture,0,0,0,25936,3,344,174,69,12,0,12,1,136,0,105,0,0,0,59,38,6,0,13203668992,4690726334,0,0,0,0,0,0,0,0,178,0,0,0,24081158,14521992,9559166,289433186,12,12,0,0
14,14,14,false,trade_planning,65535,14,14,6788,2400,120,260,11918,0,20868,581,48,0,0,11162544,243739441,2634662,28556648,20409121,28556648,2254807519,30683897,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,13874404,-13874404,0,2468280587,352611644,2027423622,285156437,4891132,18842546,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,12288,18616,0,2548,7,0,0,initial_topology_capture,2548,5834,0,25936,3,344,174,69,12,0,12,1,136,0,105,0,0,0,55,0,4,0,13203668992,0,0,0,0,0,0,0,0,0,170,0,0,0,23736508,14232521,9503987,284882350,13,0,0,0
15,15,15,false,trade_planning,65535,15,15,6788,2400,120,260,11918,0,20290,582,40,0,0,11075459,238187083,2518155,27718857,21100518,27718857,2196724739,31717580,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,13372820,-13372820,0,2313528148,330504149,1968257159,281000191,4808697,18820051,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,8,0,0,initial_topology_capture,0,0,0,34595,5,470,238,105,12,0,12,1,176,0,133,0,0,0,85,35,5,0,13203668992,2621160336,0,0,0,0,0,0,0,0,158,0,0,0,23631246,14143994,9487252,280759135,14,14,0,0
16,16,16,false,trade_planning,65535,16,16,6788,2400,120,260,11918,0,19500,582,36,0,0,21956731,197629487,37331748,26623462,74385136,26623462,1619608329,129126510,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,12260402,-12260402,0,1405464601,200780782,1293556819,277017563,21830483,382209,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,874,8,0,0,initial_topology_capture,874,1922,0,34595,5,470,238,105,12,0,12,1,176,0,133,0,0,0,82,0,3,0,13203668992,0,0,0,0,0,0,0,0,0,153,0,0,0,22223782,21968198,255584,275751204,15,0,0,0
17,17,17,false,trade_planning,65535,17,17,6788,2400,120,260,11918,0,20322,577,47,0,0,22570472,208326672,34398669,27969328,71633601,27969328,1760149649,123669039,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,13033301,-13033301,0,1598738369,228391326,1440680610,286181288,22440013,403273,ACTIVE,true,1,5506021713779301165,7858414910045529063,ROUTE,18616,18616,0,25,8,0,0,initial_topology_capture,25,64,0,34595,5,470,238,105,12,0,12,1,176,0,133,0,0,0,65,0,17,0,13203668992,0,0,0,0,0,0,0,0,0,150,0,0,0,22855660,22582460,273200,284859932,16,0,1560,1560
18,18,18,false,trade_planning,65535,18,18,6788,2400,120,260,11918,0,21086,541,41,0,0,23791130,217926190,37021448,28877030,70304053,28877030,1858854174,121628279,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,13333089,-13333089,0,1757746136,251106718,1553900895,300100997,23654063,408333,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,9,0,0,initial_topology_capture,0,0,0,48340,7,599,306,147,12,0,12,1,228,0,159,0,0,0,97,40,8,0,13203668992,4462826859,0,0,0,0,0,0,0,0,147,0,0,0,24073374,23801702,271672,298930713,17,17,3208,3229
19,19,19,false,trade_planning,65535,19,19,6788,2400,120,260,11918,0,20868,581,48,0,0,23446428,214804483,37000974,28556712,76243792,28556712,1793217773,131486737,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,13093385,-13093385,0,1597381595,228197501,1465031036,295108981,23310565,403955,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,10,0,0,initial_topology_capture,0,0,0,64613,7,759,390,195,12,0,12,1,288,0,195,0,0,0,131,48,14,0,13203668992,4900693189,0,0,0,0,0,0,0,0,151,0,0,0,23726876,23458382,268494,293788774,18,18,4912,4954
20,20,20,false,trade_planning,65535,20,20,6788,2400,120,260,11918,0,20290,582,40,0,0,23355140,209749203,36521198,27718870,78522837,27718870,1722120035,135610983,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,12603760,-12603760,0,1480735850,211533816,1389759052,290781133,23221689,388097,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,11,0,0,initial_topology_capture,0,0,0,76009,7,883,454,235,12,0,12,1,336,0,219,0,0,0,148,40,23,0,13203668992,6140341307,0,0,0,0,0,0,0,0,145,0,0,0,23621712,23366682,255030,289507504,19,19,6596,6655
21,21,21,false,trade_planning,65535,21,21,6788,2400,120,260,11918,0,19500,582,36,0,0,21697969,131184094,86835794,26623672,42192221,26623672,1524537727,111406131,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,11709850,-11709850,0,1279108206,182729870,1216206596,281606582,21571722,362320,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,926,11,0,0,initial_topology_capture,926,1869,0,76009,7,883,454,235,12,0,12,1,336,0,219,0,0,0,135,0,13,0,13203668992,0,0,0,0,0,0,0,0,0,100,0,0,0,22017205,21780789,236416,278677117,20,0,8120,8270
22,22,22,false,trade_planning,65535,22,22,6788,2400,120,260,11918,0,20322,577,47,0,0,22345802,140502664,86342026,27969735,39441248,27969735,1668050688,105674468,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,12477542,-12477542,0,1454307394,207758332,1366576220,291444908,22227239,372963,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,12,0,0,initial_topology_capture,0,0,0,87376,7,1021,526,281,12,0,12,1,390,0,245,0,0,0,168,46,13,0,13203668992,3340062734,0,0,0,1500,1,0,1,0,129,0,0,621346,22674496,22420226,254270,288675266,21,21,7994,8270
23,23,23,false,trade_planning,65535,23,23,6788,2400,120,260,11918,0,21086,541,41,0,0,23436579,143767127,93385958,28877284,38167475,28877284,1740363687,102412890,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,12714205,-12714205,0,1571780156,224540155,1454625797,304505861,23310991,377141,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,1038,12,0,0,initial_topology_capture,1038,1802,0,87376,7,1021,526,281,12,0,12,1,390,0,245,0,0,0,150,0,18,0,13203668992,0,0,0,0,1500,1,0,1,0,126,0,0,622382,23794285,23542847,251438,301249224,22,0,7876,8270
24,24,24,false,trade_planning,65535,24,24,6788,2400,120,260,11918,0,20868,581,48,0,0,23114288,140496236,94189228,28556846,39714154,28556846,1707822234,106544681,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,12581808,-12581808,0,1471442166,210206158,1404577553,299698619,22978425,386413,ACTIVE,true,1,5506021713779301165,7858414910045529063,ROUTE,18616,18616,0,28,12,0,0,initial_topology_capture,28,82,0,87376,7,1021,526,281,12,0,12,1,390,0,245,0,0,0,125,0,25,0,13203668992,0,0,0,0,0,0,0,0,0,113,0,0,0,23465783,23214851,250932,296563053,23,0,7765,8270
25,25,25,false,trade_planning,65535,25,25,6788,2400,120,260,11918,0,20290,582,40,0,0,22947819,137452402,91331116,27718957,41014196,27718957,1650217085,109414006,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,11965287,-11965287,0,1396428437,199489910,1344053079,294491980,22814368,366674,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,13,0,0,initial_topology_capture,0,0,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,159,53,19,0,13203668992,4449575344,0,0,0,0,0,0,0,0,100,0,0,0,23302254,23068678,233576,290872041,24,24,7631,8270
26,26,26,false,trade_planning,65535,26,26,6788,2400,120,260,11918,0,19505,577,36,0,0,21524295,103813216,65098648,26623600,16370550,26623600,1621771381,55433947,196925000,2648500,86000,2562500,68800000,128125000,0,0,0,132166250,0,0,10481635,-10481635,0,1445812149,206544710,1369412434,284571865,21410907,327065,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,1220,13,0,0,initial_topology_capture,1220,1636,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,145,0,14,0,13203668992,0,0,0,0,7500,5,0,5,0,93,0,0,3138899,21868176,21656730,211446,280353951,25,0,7617,8270
27,27,27,false,trade_planning,65535,27,27,6788,2400,120,260,11918,0,20322,577,47,0,0,22419795,107910475,69988396,27969569,16256106,27969569,1690666719,52508283,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,11307750,-11307750,0,1540753367,220107760,1442358436,296723502,22302070,351000,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,8192,18616,0,2307,13,0,0,initial_topology_capture,2307,3360,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,130,0,15,0,13203668992,0,0,0,0,1500,1,0,1,0,100,0,0,623901,22713475,22480421,233054,293942129,26,0,7601,8270
28,28,28,false,trade_planning,65535,28,28,6788,2400,120,260,11918,0,21088,539,41,0,0,23587985,112193212,72257902,28877062,15649315,28877062,1768020275,51056634,183325000,2444000,81500,2362500,65200000,118125000,0,0,0,122923750,0,0,11605051,-11605051,0,1634814654,233545071,1533638641,310268772,23463896,354288,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,12288,18616,0,3422,13,0,0,initial_topology_capture,3422,5069,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,118,0,12,0,13203668992,0,0,0,0,3000,2,0,2,0,86,0,0,1257607,23891217,23661729,229488,307252518,27,0,7588,8270
29,29,29,false,trade_planning,65535,29,29,6788,2400,120,260,11918,0,20870,579,48,0,0,23278376,108082444,72428658,28556616,15537381,28556616,1740129015,50804035,196700000,2636500,86500,2550000,69200000,127500000,0,0,0,131967500,0,0,11302720,-11302720,0,1561682521,223097638,1492624980,305229448,23154507,349313,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,16384,18616,0,4570,13,0,0,initial_topology_capture,4570,6760,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,107,0,11,0,13203668992,0,0,0,0,3000,2,0,2,0,84,0,0,1257521,23569692,23344966,224726,302163633,28,0,7565,8270
30,30,30,false,trade_planning,65535,30,30,6788,2400,120,260,11918,0,20291,581,40,0,0,23196750,106729612,69751243,27718962,15933095,27718962,1703981091,52060095,196750000,2660000,85000,2575000,68000000,128750000,0,0,0,132122500,0,0,10747428,-10747428,0,1527645401,218235188,1455170996,300586839,23074631,333593,ACTIVE,true,1,5506021713779301165,7858414910045529063,ROUTE,18616,18616,0,28,13,0,0,initial_topology_capture,28,77,0,105449,7,1194,610,334,32,2,30,1,447,0,272,0,0,0,92,0,15,0,13203668992,0,0,0,0,1500,1,0,1,0,83,0,0,624033,23471211,23259977,211234,297691537,29,0,7548,8270
31,31,31,false,trade_planning,65535,31,31,6788,2400,120,260,11918,0,19507,575,36,0,0,21984882,66299554,67620700,26623612,3405129,26623612,1576130845,17195956,195362500,2617250,86000,2531250,68800000,126562500,0,0,0,131063125,0,0,9914900,-9914900,0,1570210512,224315909,1363572389,292145025,21873260,314529,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,14,0,0,initial_topology_capture,0,0,0,120826,15,1354,690,397,40,4,36,1,490,0,287,2,0,0,142,58,8,0,13203668992,4364826412,0,0,0,4500,3,0,3,0,66,0,0,1878603,22201406,21999720,201686,290428630,30,30,7519,8270
32,32,32,false,trade_planning,65535,32,32,6788,2400,120,260,11918,0,20326,573,47,0,0,22606961,70777110,68191935,27967638,4041010,27967638,1619690866,20434653,195800000,2588500,88500,2500000,70800000,125000000,0,0,0,131172500,0,0,10239444,-10239444,0,1601682011,228811847,1403456213,302385137,21987077,838637,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,1144,14,0,0,initial_topology_capture,1144,1671,0,120826,15,1354,690,397,40,4,36,1,490,0,287,2,0,0,131,0,11,0,13203668992,0,0,0,0,6000,4,0,4,0,90,0,0,2512563,22836935,22619897,217038,300651093,31,0,7505,8270
33,33,33,false,trade_planning,65535,33,33,6788,2400,120,260,11918,0,21094,533,41,0,0,23827394,73364888,71485871,28877146,4157285,28877146,1688279146,21060293,182700000,2431500,81500,2350000,65200000,117500000,0,0,0,122482500,0,0,10792596,-10792596,0,1672983851,238997822,1484518853,316604754,23226215,820948,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,12288,18616,0,3486,14,0,0,initial_topology_capture,3486,5031,0,120826,15,1354,690,397,40,4,36,1,490,0,287,2,0,0,127,0,4,0,13203668992,0,0,0,0,10500,7,0,7,0,94,0,0,4384987,24056402,23839830,216572,314937284,32,0,7492,8271
34,34,34,false,trade_planning,65535,34,34,6788,2400,120,260,11918,0,20873,576,48,0,0,23482205,69816074,70863788,28556692,3893008,28556692,1662449864,19919892,196075000,2624000,86500,2537500,69200000,126875000,0,0,0,131526250,0,0,10479299,-10479299,0,1622088001,231726985,1446454972,311441303,22706916,991051,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,16384,18616,0,4609,14,0,0,initial_topology_capture,4609,6708,0,120826,15,1354,690,397,40,4,36,1,490,0,287,2,0,0,120,0,7,0,13203668992,0,0,0,0,6000,4,0,4,0,83,0,0,2502664,23709438,23495388,214050,309679519,33,0,7484,8271
35,35,35,false,trade_planning,65535,35,35,6788,2400,120,260,11918,0,20293,579,40,0,0,23390371,69907845,67767859,27718801,3692795,27718801,1640640534,18966913,196409500,2653715,84965,2568750,67972000,128437500,0,0,0,131894875,0,0,9925137,-9925137,0,1605474930,229353687,1425264121,306640560,22743646,848501,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,0,18616,0,0,15,0,0,initial_topology_capture,0,0,0,142865,15,1570,782,473,72,18,54,1,503,0,303,2,0,0,184,76,12,0,13203668992,3395812225,0,0,0,3000,2,0,2,0,73,0,0,1252378,23603390,23402326,201064,305042951,34,34,7462,8271
36,36,36,false,trade_planning,65535,36,36,6787,2400,120,260,11918,0,19510,573,35,0,0,22010332,63863899,34651566,26623546,727242,26623546,1598185271,3813280,194737500,2604750,86000,2518750,68800000,125937500,0,0,0,130621875,0,0,9457021,-9457021,0,1723884636,246269364,1399634491,298339746,20162399,2026569,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,4096,18616,0,1168,15,0,0,initial_topology_capture,1168,1687,0,142865,15,1570,782,473,72,18,54,1,503,0,303,2,0,0,170,0,14,0,13203668992,0,0,0,0,4500,3,0,3,0,61,0,0,1938457,22204622,22027202,177420,295942320,35,0,7452,8271
37,37,37,false,trade_planning,65535,37,37,6787,2400,120,260,11918,0,20328,571,47,0,0,22284509,65194496,38212657,27969664,363301,27969664,1613350372,2239673,194550000,2563500,88500,2475000,70800000,123750000,0,0,0,130290000,0,0,9918788,-9918788,0,1721572329,245939030,1416560699,311244819,19022905,3797592,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,8192,18616,0,2302,15,0,0,initial_topology_capture,2302,3410,0,142865,15,1570,782,473,72,18,54,1,503,0,303,2,0,0,156,0,14,0,13203668992,0,0,0,0,3000,2,0,2,0,62,0,0,1250936,22834733,22383233,451500,309113442,36,0,7439,8271
38,38,38,false,trade_planning,65535,38,38,6787,2400,120,260,11918,0,21098,529,41,0,0,23523279,68052103,39215165,28877223,636571,28877223,1669799776,3384445,180825000,2394000,81500,2312500,65200000,115625000,0,0,0,121158750,0,0,10402856,-10402856,0,1775697959,253671265,1485590331,325296780,20464402,3576386,ACTIVE,true,1,5506021713779301165,7858414910045529063,SCAN,16384,18616,0,4617,15,0,0,initial_topology_capture,4617,6733,0,142865,15,1570,782,473,72,18,54,1,503,0,303,2,0,0,143,0,13,0,13203668992,0,0,0,0,4500,3,0,3,0,69,0,0,1880865,24054700,23619361,435339,323006543,37,0,7422,8271
