day,cell,merchant_cash,merchant_inventory_liquidation_value,merchant_economic_assets,merchant_operating_outflow,merchant_liquidity_coverage_q16,merchant_population,merchant_income,merchant_expense,population
121,539,12191600,1110976,13302576,591299,1351243,3,219229,700480,21
122,539,11814208,1479055,13293263,588162,1316399,3,388447,765839,21
123,539,15695900,1802696,17498596,583811,1761951,5,333161,801997,21
124,539,15202017,2120810,17322827,579021,1720627,5,260775,754658,21
125,539,14707011,2440680,17147691,579113,1664336,5,257584,752590,21
126,539,14216275,2756580,16972855,574050,1622990,5,255012,745748,21
127,539,13729268,3069738,16799006,569070,1581108,5,251311,738318,21
128,539,13246365,3379173,16625538,564168,1538750,5,248764,731667,21
129,539,12389766,1839989,14229755,559329,1451696,4,2139152,579766,21
130,539,11871454,2212489,14083943,601320,1293832,4,214388,732700,21
131,539,11356717,2580455,13937172,597040,1246606,4,211896,726633,21
132,539,10846035,2941929,13787964,592340,1199996,4,209920,720602,21
133,539,10339866,3296298,13636164,587129,1154147,4,208230,714399,21
134,539,9838460,3645288,13483748,581624,1108574,4,206143,707549,21
135,539,6890583,4009375,10899958,570520,791525,3,175991,664253,21
136,539,4123565,4382860,8506425,553981,487818,2,146008,616165,21
137,539,3657909,4750050,8407959,548719,436880,2,144768,610424,21
138,539,3196477,5112084,8308561,543325,385559,2,142193,603625,21
139,539,2739458,5472887,8212345,537819,333816,2,135768,592787,21
140,539,2281670,5840346,8122016,538665,277596,2,130830,588618,21
141,539,1829013,6205782,8034795,533625,224626,2,126005,578662,21
142,539,1381421,6571201,7952622,528688,171240,2,119454,567046,21
143,539,938775,6936651,7875426,523890,117436,2,112754,555400,21
144,539,694571,7018954,7713525,519187,87674,2,317021,561225,21
145,539,450539,7103693,7554232,516088,57212,2,307418,551450,21
146,539,325542,7178571,7504113,394117,54132,2,303782,428779,21
147,539,306784,7244245,7551029,284835,70586,2,300078,318836,21
148,539,301517,7300854,7602371,268355,73634,2,296437,301704,21
149,539,2165899,5463541,7629440,263728,538222,2,2160809,296427,21
150,539,761871,5794701,6556572,509442,98009,1,277343,598422,21
151,539,3145270,6098538,9243808,504825,408316,2,222235,714802,21
152,539,2725067,6401841,9126908,500323,356949,2,133069,553272,21
153,539,2309881,6703733,9013614,495985,305211,2,129363,544549,21
154,539,1899490,7004964,8904454,491723,253160,2,125453,535844,21
155,539,1486891,7313549,8800440,494497,197058,2,120432,533031,21
156,539,1180117,7478738,8658855,490584,157649,2,226676,533450,21
157,539,955409,7510308,8465717,484253,129299,2,304916,529624,21
158,539,736756,7539507,8276263,474546,101747,2,295778,514431,21
159,539,523791,7567390,8091181,465125,73802,2,286130,499095,21
160,539,313770,7600576,7914346,458280,44870,2,277116,487137,21
161,539,283667,7628517,7912184,274518,67720,2,272711,302814,21
162,539,276144,7651181,7927325,248119,72938,2,268347,275870,21
163,539,268061,7660079,7928140,120799,145428,1,264948,134959,21
164,539,279892,7553108,7833000,234541,78208,1,260267,248436,21
165,539,277039,7564256,7841295,244794,74168,1,255582,258435,21
166,539,268986,7565730,7834716,242386,72728,1,247638,255691,21
167,539,258059,7570088,7828147,235288,71878,1,237253,248180,21
168,539,253566,7570976,7824542,225784,73599,1,234014,238507,21
169,539,1689511,6094318,7783829,221846,499102,1,1670340,234395,21
170,539,1356422,6329968,7686390,405374,219290,1,94473,427562,21
171,539,1023926,6568737,7592663,406296,165160,1,93097,425593,21
172,539,693761,6809030,7502791,404458,112412,1,89896,420061,21
173,539,386815,7026532,7413347,402554,62973,1,107119,414065,21
174,539,272810,7016732,7289542,285444,62635,1,182847,296852,21
175,539,248000,7053260,7301260,238659,68101,1,226201,251011,21
176,539,241288,7085924,7327212,216951,72887,1,222377,229089,21
177,539,237097,7114587,7351684,211093,73609,1,218827,223018,21
178,539,233538,7139125,7372663,207399,73795,1,215553,219112,21
179,539,1531867,5815624,7347491,204337,491308,1,1514165,215836,21
180,539,1207220,6044202,7251422,393597,201008,1,88592,413239,21
181,539,883388,6275491,7158879,393196,147238,1,86134,409966,21
182,539,560715,6509429,7070144,392428,93640,1,82544,405217,21
183,539,240466,6746828,6987294,390674,40338,1,77789,398038,21
184,539,101442,6865188,6966630,210311,31610,1,75926,214950,21
185,539,175782,6970803,7146585,88733,129828,1,172246,97906,21
186,539,224779,7004841,7229620,153786,95789,1,213746,164749,21
187,539,229262,7032319,7261581,196619,76416,1,211841,207358,21
188,539,228187,7054468,7282655,200593,74551,1,210039,211114,21
189,539,226654,6960785,7187439,199588,74423,1,208363,209896,21
190,539,224840,6980407,7205247,198237,74330,1,206527,208341,21
191,539,222859,6995971,7218830,196700,74251,1,204630,206611,21
192,539,220761,6978181,7198942,194988,74198,1,202614,204712,21
193,539,218558,6957634,7176192,193105,74174,1,200448,202651,21
194,539,216079,6830746,7046825,191189,74067,1,198088,200567,21
195,539,213378,6814259,7027637,189028,73978,1,195542,198243,21
196,539,210591,6796046,7006637,186687,73927,1,192963,195750,21
197,539,207601,6776678,6984279,184235,73847,1,190163,193153,21
198,539,204414,6756574,6960988,181610,73765,1,187201,190388,21
199,539,201102,6636494,6837596,178852,73688,1,184187,187499,21
200,539,197762,6623524,6821286,175907,73678,1,181085,184425,21
201,539,192914,6612746,6805660,173032,73066,1,176552,181400,22
202,539,187990,6593853,6781843,168732,73015,1,171803,176727,22
203,539,185791,6576652,6762443,164436,74047,1,170174,172373,22
204,539,184104,6465863,6649967,162553,74224,1,168737,170424,22
205,539,182527,6453779,6636306,161042,74279,1,167273,168850,22
206,539,180865,6439989,6620854,159653,74243,1,165741,167403,22
207,539,179219,6424415,6603634,158248,74220,1,164295,165941,22
208,539,177619,6405797,6583416,156794,74240,1,162832,164432,22
209,539,176019,6297452,6473471,155377,74242,1,161351,162951,22
210,539,173473,6283060,6456533,153987,73829,1,158919,161465,22
211,539,170770,6268048,6438818,151780,73735,1,156461,159164,22
212,539,168120,6253265,6421385,149406,73744,1,154049,156699,22
213,539,165626,6189762,6355388,147063,73808,1,151770,154264,22
214,539,197834,6043690,6241524,110202,117649,1,150000,117792,22
215,539,165178,6035084,6200262,173069,62547,1,147450,180106,22
216,539,159237,5979647,6138884,144506,72216,1,145493,151434,22
217,539,156789,5968471,6125260,139283,73772,1,143672,146120,22
218,539,154910,5912400,6067310,137154,74020,1,142019,143898,22
219,539,182986,5777591,5960577,105698,113456,1,140850,112774,22
220,539,155337,5769620,5924957,160098,63587,1,139028,166677,22
221,539,150805,5718219,5869024,135873,72738,1,137801,142333,22
222,539,149145,5707668,5856813,131931,74086,1,136634,138294,22
223,539,148268,5653108,5801376,130466,74478,1,135854,136731,22
224,539,177668,5522905,5700573,99564,116946,1,135561,106161,22
225,539,150629,5511226,5661855,155431,63511,1,134498,161537,22
226,539,146746,5497336,5644082,131774,72982,1,133867,137750,22
227,539,145752,5443501,5589253,128397,74394,1,133287,134281,22
228,539,145220,5425197,5570417,127496,74646,1,132759,133291,22
229,539,178316,5297473,5475789,93568,124894,1,132835,99739,22
230,539,148520,5282221,5430741,155992,62396,1,131887,161683,22
231,539,144375,5265419,5409794,129955,72807,1,131356,135501,22
232,539,143360,5245898,5389258,126292,74393,1,130749,131764,22
233,539,142592,5189928,5332520,125432,74501,1,130066,130834,22
234,539,177691,5066847,5244538,88873,131031,1,129822,94723,22
235,539,145421,5051371,5196792,155464,61302,1,128549,160819,22
236,539,140580,5033985,5174565,127210,72423,1,127589,132430,22
237,539,139077,5016090,5155167,123006,74098,1,126660,128163,22
238,539,137911,4996550,5134461,121690,74271,1,125626,126792,22
239,539,171282,4879725,5051007,86165,130274,1,125080,91709,22
240,539,139931,4865446,5005377,149837,61203,1,123574,154925,22
241,539,135009,4849839,4984848,122421,72274,1,122471,127393,22
242,539,133783,4834012,4967795,118125,74223,1,121819,123045,22
243,539,133225,4816475,4949700,117054,74589,1,121372,121930,22
244,539,164714,4706187,4870901,84577,127631,1,121329,89840,22
245,539,136366,4690918,4827284,144100,62018,1,120620,148968,22
246,539,132491,4675349,4807840,119317,72771,1,120207,124082,22
247,539,131667,4658080,4789747,115907,74447,1,119801,120625,22
248,539,131375,4640413,4771788,115204,74735,1,119589,119881,22
249,539,163096,4533093,4696189,82919,128904,1,119680,87959,22
250,539,134951,4517500,4652451,142704,61975,1,119219,147364,22
251,539,131367,4499941,4631308,118058,72924,1,119034,122618,22
252,539,130850,4480309,4611159,114946,74603,1,118939,119456,22
253,539,130862,4460068,4590930,114481,74913,1,118958,118946,22
254,539,165057,4353699,4518756,80369,134593,1,119407,85212,22
255,539,135383,4334404,4469787,144410,61439,1,119177,148851,22
256,539,131935,4312774,4444709,118460,72990,1,119347,122795,22
257,539,131786,4290306,4422092,115438,74817,1,119568,119717,22
258,539,132076,4265553,4397629,115301,75070,1,119822,119532,22
259,539,171139,4158379,4329518,76854,145936,1,120532,81469,22
260,539,137635,4134189,4271824,149741,60237,1,120449,153953,22
261,539,133754,4107801,4241555,120406,72801,1,120626,124507,22
262,539,133549,4080784,4214333,117024,74790,1,120868,121073,22
263,539,133802,4051683,4185485,116849,75044,1,121107,120854,22
264,539,224453,3897138,4121591,23959,613955,1,119564,28913,22
265,539,188709,3871490,4060199,151556,81601,1,120261,156005,22
266,539,153886,3845052,3998938,150680,66930,1,120022,154845,22
267,539,134376,3818500,3952876,134649,65403,1,119089,138599,22
268,539,131371,3792979,3924350,117558,73236,1,118454,121459,22
269,539,180567,3684042,3864609,22102,535410,1,74450,25254,22
270,539,143511,3662966,3806477,149160,63054,1,116175,153231,22
271,539,129614,3642979,3772593,125559,67652,1,115569,129466,22
272,539,127515,3622147,3749662,113400,73693,1,115164,117263,22
273,539,127029,3600167,3727196,111575,74613,1,114923,115409,22
274,539,205917,3465240,3671157,20313,664351,1,103285,24397,22
275,539,171134,3446626,3617760,144831,77438,1,114273,149056,22
276,539,137029,3427571,3564600,143765,62465,1,113578,147683,22
277,539,126567,3407543,3534110,119892,69184,1,113209,123671,22
278,539,125311,3386010,3511321,110739,74159,1,113218,114474,22
279,539,216152,3244497,3460649,18760,755103,1,114007,23166,22
280,539,185262,3225459,3410721,139958,86749,1,113253,144143,22
281,539,155050,3205955,3361005,138895,73158,1,112636,142848,22
282,539,127892,3187383,3315275,135659,61783,1,112189,139347,22
283,539,124550,3167228,3291778,111891,72950,1,112167,115509,22
284,539,216063,3028822,3244885,17337,816744,1,113102,21589,23
285,539,204048,2994845,3198893,124971,107004,1,117075,129090,23
286,539,192475,2962414,3154889,124002,101724,1,116471,128044,23
287,539,181440,2929731,3111171,123010,96665,1,115936,126971,23
288,539,170967,2896757,3067724,121998,91841,1,115404,125877,23
289,539,244461,2780078,3024539,16228,987244,1,93346,19852,23
290,539,232294,2751915,2984209,121997,124786,1,114031,126198,23
291,539,220378,2723725,2944103,121204,119160,1,113418,125334,23
292,539,208891,2695417,2904308,120300,113797,1,112884,124371,23
293,539,198003,2666740,2864743,119336,108737,1,112408,123296,23
294,539,278472,2546768,2825240,15021,1214961,1,99853,19384,23
295,539,266631,2521862,2788493,119120,146691,1,111880,123721,23
296,539,255049,2497071,2752120,118358,141223,1,111251,122833,23
297,539,244089,2471937,2716026,117533,136103,1,110933,121893,23
298,539,233405,2446659,2680064,116587,131201,1,110120,120804,23
299,539,321671,2322489,2644160,14097,1495426,1,107629,19363,23
300,539,309599,2299398,2608997,116361,174370,1,109457,121529,23
301,539,297840,2276319,2574159,115886,168434,1,109069,120828,23
302,539,286688,2254712,2541400,115236,163042,1,108886,120038,23
303,539,276515,2232309,2508824,114468,158312,1,108941,119114,23
304,539,365699,2110622,2476321,13759,1741874,1,108806,19622,23
305,539,355889,2088592,2444481,114193,204246,1,110189,119999,23
306,539,346479,2066474,2412953,113696,199715,1,109921,119331,23
307,539,337759,2043891,2381650,113052,195798,1,109850,118570,23
308,539,330154,2020294,2350448,112181,192875,1,109960,117565,23
309,539,419407,1901771,2321178,13460,2042069,1,109356,20103,23
310,539,412416,1880019,2292435,111735,241894,1,111427,118418,23
311,539,405896,1858122,2264018,111219,239174,1,111219,117739,23
312,539,400082,1835689,2235771,110569,237134,1,111216,117030,23
313,539,395446,1812163,2207609,109682,236282,1,111436,116072,23
314,539,485023,1694489,2179512,13168,2413917,1,110404,20827,23
315,539,481092,1670788,2151880,109178,288783,1,113048,116979,23
316,539,477553,1648767,2126320,108678,287978,1,112885,116424,23
317,539,474637,1626307,2100944,108088,287782,1,112831,115747,23
318,539,472777,1602914,2075691,107282,288808,1,113100,114960,23
319,539,562604,1488156,2050760,12889,2860642,1,111329,21502,23
320,539,561167,1464895,2026062,106913,343986,1,114431,115868,23
321,539,559967,1441655,2001622,106507,344559,1,114253,115453,23
322,539,559288,1418144,1977432,105975,345869,1,114178,114857,23
323,539,559423,1393904,1953327,105304,348157,1,114342,114207,23
324,539,649110,1280480,1929590,12638,3366044,1,111889,22202,23
325,539,649660,1258289,1907949,104900,405873,1,115386,114836,23
326,539,650263,1236325,1886588,104629,407302,1,115149,114546,23
327,539,651258,1214165,1865423,104194,409628,1,115112,114117,23
328,539,652870,1191512,1844382,103612,412949,1,115184,113572,23
329,539,742025,1081526,1823551,12404,3920457,1,112187,23032,23
330,539,743621,1059208,1802829,103453,471073,1,116214,114618,23
331,539,745255,1037166,1782421,103206,473238,1,115965,114331,23
332,539,747148,1015028,1762176,102809,476272,1,115914,114021,23
333,539,749594,992437,1742031,102289,480260,1,115975,113529,23
334,539,799232,931754,1730986,12200,4293317,1,69797,20159,23
335,539,781186,934551,1715737,103379,495224,1,95403,113449,23
336,539,762753,937890,1700643,103567,482661,1,94966,113399,23
337,539,744260,941373,1685633,103559,470995,1,94678,113171,23
338,539,726061,944458,1670519,103367,460331,1,94631,112830,23
339,539,767952,895966,1663918,12628,3985468,1,61541,19650,23
340,539,749611,899129,1648740,105139,467252,1,96624,114965,23
341,539,731043,902600,1633643,105187,455471,1,96251,114819,23
342,539,712582,905960,1618542,105056,444522,1,96019,114480,23
343,539,694627,908668,1603295,104694,434820,1,96005,113960,23
344,539,736272,860410,1596682,13076,3690143,1,61527,19882,23
345,539,718570,862939,1581509,106212,443379,1,98163,115865,23
346,539,700838,865607,1566445,106140,432731,1,97817,115549,23
347,539,683327,867956,1551283,105881,422951,1,97632,115143,23
348,539,666543,869442,1535985,105413,414394,1,97692,114476,23
349,539,708337,822882,1531219,13467,3447061,1,61866,20072,23
350,539,692004,826013,1518017,106776,424731,1,99918,116251,23
351,539,675650,829261,1504911,106657,415156,1,99556,115910,23
352,539,659544,832202,1491746,106372,406346,1,99376,115482,23
353,539,644218,834339,1478557,105901,398669,1,99416,114742,23
354,539,686184,787524,1473708,13803,3257969,1,62320,20354,23
355,539,671094,789440,1460534,107298,409894,1,101561,116651,23
356,539,655843,791606,1447449,107185,401001,1,101104,116355,23
357,539,640808,793666,1434474,106935,392724,1,100795,115830,23
358,539,626299,795147,1421446,106512,385356,1,100721,115230,23
359,539,668190,748361,1416551,14091,3107692,1,62381,20490,23
360,539,653679,749831,1403510,108034,396537,1,102638,117149,23
361,539,638862,751688,1390550,107952,387843,1,102091,116908,23
362,539,624047,753610,1377657,107728,379637,1,101684,116499,23
363,539,609510,755204,1364714,107364,372050,1,101438,115975,24
364,539,747531,706270,1453801,14335,3417522,1,228748,90727,24
365,539,798303,707700,1506003,109016,479907,2,175202,124430,24
366,539,781428,709885,1491313,109072,469521,2,104998,121873,24
367,539,764458,712524,1476982,109005,459607,2,104410,121380,24
368,539,747567,715301,1462868,108838,450141,2,103989,120880,24
369,539,780078,677740,1457818,14587,3504709,2,54923,22412,24
370,539,762015,681394,1443409,110933,450176,2,105239,123302,24
371,539,743643,685712,1429355,110916,439390,2,104535,122907,24
372,539,725192,690298,1415490,110744,429153,2,104004,122455,24
373,539,706985,694704,1401689,110410,419644,2,103654,121861,24
374,539,746099,650149,1396248,14802,3303360,2,62382,23268,24
375,539,727556,654747,1382303,111967,425849,2,105243,123786,24
376,539,708785,659850,1368635,111883,415174,2,104586,123357,24
377,539,690021,665088,1355109,111620,405135,2,104074,122838,24
378,539,671735,669881,1341616,111157,396041,2,103803,122089,24
379,539,710652,625852,1336504,14980,3109031,2,61929,23012,24
380,539,692410,630570,1322980,112558,403150,2,105643,123885,24
381,539,674031,635649,1309680,112360,393140,2,105001,123380,24
382,539,655969,640556,1296525,112015,383784,2,104595,122657,24
383,539,638556,644787,1283343,111406,375638,2,104403,121816,24
384,539,677666,600797,1278463,15124,2936492,2,61936,22826,24
385,539,660644,606649,1267293,112615,384460,2,106414,123436,24
386,539,643554,612712,1256266,112361,375361,2,105867,122957,24
387,539,626909,618505,1245414,111926,367073,2,105494,122139,24
388,539,610949,623495,1234444,111276,359818,2,105379,121339,24
389,539,650489,581113,1231602,15236,2798007,2,62285,22745,24
390,539,634913,585844,1220757,112526,369778,2,107430,123006,24
391,539,619275,590803,1210078,112257,361534,2,106846,122484,24
392,539,603863,595599,1199462,111837,353861,2,106431,121843,24
393,539,589058,599764,1188822,111215,347115,2,106249,121054,24
394,539,628897,557153,1186050,15325,2689422,2,62522,22683,24
395,539,614310,561162,1175472,112531,357762,2,108160,122747,24
396,539,599502,565543,1165045,112296,349869,2,107520,122328,24
397,539,584832,569989,1154821,111930,342424,2,106982,121652,24
398,539,570549,574038,1144587,111393,335671,2,106651,120934,24
399,539,610430,531562,1141992,15390,2599424,2,62368,22487,24
400,539,595928,535633,1131561,112864,346033,2,108396,122898,24
401,539,581085,540406,1121491,112668,338001,2,107481,122324,24
402,539,566170,545355,1111525,112351,330255,2,106907,121822,24
403,539,551400,550275,1101675,111878,322999,2,106271,121041,24
404,539,591421,507726,1099147,15441,2510159,2,62422,22401,24
405,539,576384,512708,1089092,113346,333261,2,107948,122985,24
406,539,560912,518297,1079209,113175,324806,2,107133,122605,24
407,539,545238,524438,1069676,112856,316622,2,106164,121838,24
408,539,529827,530304,1060131,112365,309017,2,105772,121183,24
409,539,570453,487295,1057748,15478,2415377,2,62889,22263,24
410,539,554722,493305,1048027,113830,319373,2,107322,123053,24
411,539,538681,499927,1038608,113611,310735,2,106470,122511,24
412,539,522599,506734,1029333,113244,302435,2,105788,121870,24
413,539,506921,513091,1020012,112668,294862,2,105461,121139,24
414,539,548460,469274,1017734,15495,2319707,2,63710,22171,24
415,539,532811,477464,1010275,113974,306370,2,107224,122873,24
416,539,516943,486144,1003087,113723,297902,2,106437,122305,24
417,539,501055,494763,995818,113316,289783,2,105911,121799,24
418,539,485711,502862,988573,112679,282497,2,105567,120911,24
419,539,749346,250097,999443,15497,3168944,2,285643,22008,24
420,539,400695,319691,720386,127172,206491,1,226902,200880,24
421,539,2873347,383981,3257328,131387,1433229,2,145781,197928,24
422,539,2790430,452638,3243068,134253,1362156,2,72650,155567,24
423,539,2706483,522314,3228797,135735,1306752,2,72905,156852,24
424,539,2732835,485152,3217987,19304,9277821,2,63797,37445,24
425,539,2669224,526492,3195716,139144,1257188,2,102595,166206,24
426,539,2630785,533035,3163820,139608,1234965,2,134608,173047,24
427,539,2592878,539293,3132171,138825,1224036,2,133939,171846,24
428,539,2555872,544626,3100498,137824,1215329,2,133627,170633,24
429,539,2590406,497031,3087437,19526,8694297,2,73795,39261,24
430,539,2553820,502213,3056033,138932,1204669,2,135536,172122,24
431,539,2517175,507895,3025070,138440,1191603,2,134536,171181,24
432,539,2480692,513617,2994309,137814,1179667,2,133737,170220,24
433,539,1213662,524703,1738365,136906,580972,1,126254,152938,24
434,539,1255201,479274,1734475,19459,4227393,1,71244,29705,24
435,539,1228765,490353,1719118,137864,584114,1,127761,154197,24
436,539,1202298,501602,1703900,137157,574478,1,126765,153232,24
437,539,1176362,512345,1688707,136184,566102,1,126038,151974,24
438,539,1151469,521869,1673338,134943,559218,1,125702,150595,24
